TDS,pH,Turbidity,Temprature,X,Y
34.33333333,6.693333333,9.333333333,9.563333333,33,6
35,6.543333333,8.666666667,9.123333333,30,7
35.66666667,6.563333333,8,9.023333333,31,5
36.33333333,6.516666667,8,9.003333333,22,7
36.33333333,6.463333333,8,9.126666667,18,9
37,6.496666667,8,9.106666667,9,8
37,6.503333333,8,9.126666667,5,4.2
37,6.523333333,8,9.186666667,9,3
37.66666667,6.503333333,8,9.27,17,5
